Adj Close,Date
1.0804,4/7/2020
1.0895,4/8/2020
1.0864,4/9/2020
1.0927,4/10/2020
1.0933,4/13/2020
1.0923,4/14/2020
1.0985,4/15/2020
1.0905,4/16/2020
1.0858,4/17/2020
1.0867,4/20/2020
1.0865,4/21/2020
1.0856,4/22/2020
1.081,4/23/2020
1.0777,4/24/2020
1.0824,4/27/2020
1.0825,4/28/2020
1.0837,4/29/2020
1.0877,4/30/2020
1.0945,5/1/2020
1.096,5/4/2020
1.0904,5/5/2020
1.0839,5/6/2020
1.0799,5/7/2020
1.0837,5/8/2020
1.084,5/11/2020
1.0809,5/12/2020
1.0847,5/13/2020
1.0824,5/14/2020
1.0807,5/15/2020
1.0821,5/18/2020
1.0915,5/19/2020
1.0928,5/20/2020
1.0983,5/21/2020
1.0953,5/22/2020
1.0908,5/25/2020
1.0903,5/26/2020
1.0982,5/27/2020
1.1017,5/28/2020
1.1079,5/29/2020
1.1119,6/1/2020
1.1126,6/2/2020
1.1189,6/3/2020
1.1236,6/4/2020
1.1338,6/5/2020
1.132,6/8/2020
1.1306,6/9/2020
1.1332,6/10/2020
1.1365,6/11/2020
1.1288,6/12/2020
1.1252,6/15/2020
1.1338,6/16/2020
1.1266,6/17/2020
1.1243,6/18/2020
1.1211,6/19/2020
1.1178,6/22/2020
1.128,6/23/2020
1.1312,6/24/2020
1.1251,6/25/2020
1.1222,6/26/2020
1.1226,6/29/2020
1.1247,6/30/2020
1.1236,7/1/2020
1.1251,7/2/2020
1.1238,7/3/2020
1.1247,7/6/2020
1.1313,7/7/2020
1.1275,7/8/2020
1.1339,7/9/2020
1.1288,7/10/2020
1.131,7/13/2020
1.1345,7/14/2020
1.1411,7/15/2020
1.1417,7/16/2020
1.1392,7/17/2020
1.1443,7/20/2020
1.1459,7/21/2020
1.1534,7/22/2020
1.1569,7/23/2020
1.1596,7/24/2020
1.1653,7/27/2020
1.1769,7/28/2020
1.1719,7/29/2020
1.1783,7/30/2020
1.1872,7/31/2020
1.1782,8/3/2020
1.1763,8/4/2020
1.1815,8/5/2020
1.1873,8/6/2020
1.1876,8/7/2020
1.1783,8/10/2020
1.1738,8/11/2020
1.1737,8/12/2020
1.1794,8/13/2020
1.1817,8/14/2020
1.1853,8/17/2020
1.1876,8/18/2020
1.1948,8/19/2020
1.1844,8/20/2020
1.1874,8/21/2020
1.1798,8/24/2020
1.1795,8/25/2020
1.1835,8/26/2020
1.1843,8/27/2020
1.182,8/28/2020
1.1918,8/31/2020
1.1939,9/1/2020
1.1923,9/2/2020
1.1847,9/3/2020
1.184,9/4/2020
1.1834,9/7/2020
1.1822,9/8/2020
1.177,9/9/2020
1.1806,9/10/2020
1.1824,9/11/2020
1.1843,9/14/2020
1.187,9/15/2020
1.1844,9/16/2020
1.1803,9/17/2020
1.1848,9/18/2020
1.1846,9/21/2020
1.1768,9/22/2020
1.1708,9/23/2020
1.1659,9/24/2020
1.1673,9/25/2020
1.1635,9/28/2020
1.1679,9/29/2020
1.1742,9/30/2020
1.1726,10/1/2020
1.1745,10/2/2020
1.172,10/5/2020
1.1792,10/6/2020
1.1738,10/7/2020
1.1767,10/8/2020
1.1767,10/9/2020
1.1817,10/12/2020
1.1816,10/13/2020
1.1742,10/14/2020
1.1744,10/15/2020
1.1707,10/16/2020
1.1716,10/19/2020
1.1769,10/20/2020
1.183,10/21/2020
1.1854,10/22/2020
1.1815,10/23/2020
1.1848,10/26/2020
1.1809,10/27/2020
1.1784,10/28/2020
1.1749,10/29/2020
1.1679,10/30/2020
1.1642,11/2/2020
1.1643,11/3/2020
1.1762,11/4/2020
1.1733,11/5/2020
1.1818,11/6/2020
1.1893,11/9/2020
1.1827,11/10/2020
1.1819,11/11/2020
1.178,11/12/2020
1.1803,11/13/2020
1.1845,11/16/2020
1.1859,11/17/2020
1.1864,11/18/2020
1.1848,11/19/2020
1.1866,11/20/2020
1.1866,11/23/2020
1.1843,11/24/2020
1.1901,11/25/2020
1.192,11/26/2020
1.1916,11/27/2020
1.1971,11/30/2020
1.1938,12/1/2020
1.2074,12/2/2020
1.2115,12/3/2020
1.2146,12/4/2020
1.2121,12/7/2020
1.2113,12/8/2020
1.2111,12/9/2020
1.2079,12/10/2020
1.2144,12/11/2020
1.2133,12/14/2020
1.2149,12/15/2020
1.2154,12/16/2020
1.22,12/17/2020
1.2263,12/18/2020
1.2216,12/21/2020
1.2237,12/22/2020
1.2187,12/23/2020
1.2191,12/24/2020
1.2185,12/25/2020
1.2205,12/28/2020
1.2223,12/29/2020
1.2253,12/30/2020
1.23,12/31/2020
1.218,1/1/2021
1.2251,1/4/2021
1.2252,1/5/2021
1.23,1/6/2021
1.2341,1/7/2021
1.2271,1/8/2021
1.2186,1/11/2021
1.2161,1/12/2021
1.2209,1/13/2021
1.2162,1/14/2021
1.2151,1/15/2021
1.2068,1/18/2021
1.2077,1/19/2021
1.2139,1/20/2021
1.2116,1/21/2021
1.2166,1/22/2021
1.2169,1/25/2021
1.2146,1/26/2021
1.2163,1/27/2021
1.2105,1/28/2021
1.212,1/29/2021
1.2124,2/1/2021
1.2069,2/2/2021
1.2039,2/3/2021
1.2042,2/4/2021
1.1967,2/5/2021
1.2049,2/8/2021
1.2054,2/9/2021
1.212,2/10/2021
1.2121,2/11/2021
1.2132,2/12/2021
1.2122,2/15/2021
1.2132,2/16/2021
1.2092,2/17/2021
1.2048,2/18/2021
1.2092,2/19/2021
1.2126,2/22/2021
1.2167,2/23/2021
1.2152,2/24/2021
1.2171,2/25/2021
1.216,2/26/2021
1.209,3/1/2021
1.2051,3/2/2021
1.2085,3/3/2021
1.2051,3/4/2021
1.1968,3/5/2021
1.1926,3/8/2021
1.1852,3/9/2021
1.1898,3/10/2021
1.1926,3/11/2021
1.1986,3/12/2021
1.195,3/15/2021
1.1926,3/16/2021
1.1902,3/17/2021
1.1983,3/18/2021
1.1918,3/19/2021
1.1883,3/22/2021
1.1933,3/23/2021
1.184,3/24/2021
1.1813,3/25/2021
1.1777,3/26/2021
1.1788,3/29/2021
1.1771,3/30/2021
1.1724,3/31/2021
1.1729,4/1/2021
1.178,4/2/2021
1.1768,4/5/2021
1.1819,4/6/2021
1.1874,4/7/2021
1.1874,4/8/2021
1.1916,4/9/2021
1.1901,4/12/2021
1.1915,4/13/2021
1.1954,4/14/2021
1.1986,4/15/2021
1.1972,4/16/2021
1.1969,4/19/2021
1.2045,4/20/2021
1.2032,4/21/2021
1.2038,4/22/2021
1.2015,4/23/2021
1.209,4/26/2021
1.2082,4/27/2021
1.209,4/28/2021
1.2136,4/29/2021
1.2127,4/30/2021
1.2028,5/3/2021
1.2061,5/4/2021
1.2015,5/5/2021
1.2008,5/6/2021
1.2069,5/7/2021
1.2171,5/10/2021
1.2141,5/11/2021
1.2145,5/12/2021
1.2079,5/13/2021
1.2077,5/14/2021
1.215,5/17/2021
1.2157,5/18/2021
1.2224,5/19/2021
1.2173,5/20/2021
1.2225,5/21/2021
1.2183,5/24/2021
1.2215,5/25/2021
1.2249,5/26/2021
1.2193,5/27/2021
1.2193,5/28/2021
1.219,5/31/2021
1.2233,6/1/2021
1.2218,6/2/2021
1.221,6/3/2021
1.2133,6/4/2021
1.2168,6/7/2021
1.2194,6/8/2021
1.2173,6/9/2021
1.2182,6/10/2021
1.2173,6/11/2021
1.211,6/14/2021
1.2122,6/15/2021
1.2127,6/16/2021
1.1996,6/17/2021
1.1913,6/18/2021
1.1874,6/21/2021
1.1913,6/22/2021
1.1937,6/23/2021
1.1933,6/24/2021
1.193,6/25/2021
1.1942,6/28/2021
1.1929,6/29/2021
1.1902,6/30/2021
1.1857,7/1/2021
1.1846,7/2/2021
1.1856,7/5/2021
1.1864,7/6/2021
1.1825,7/7/2021
1.1793,7/8/2021
1.1848,7/9/2021
1.1873,7/12/2021
1.1865,7/13/2021
1.1775,7/14/2021
1.1833,7/15/2021
1.1812,7/16/2021
1.1814,7/19/2021
1.1794,7/20/2021
1.1784,7/21/2021
1.1793,7/22/2021
1.1773,7/23/2021
1.1773,7/26/2021
1.1808,7/27/2021
1.1823,7/28/2021
1.1846,7/29/2021
1.1893,7/30/2021
1.1867,8/2/2021
1.1875,8/3/2021
1.1869,8/4/2021
1.1837,8/5/2021
1.1836,8/6/2021
1.175,8/9/2021
1.1738,8/10/2021
1.1723,8/11/2021
1.1742,8/12/2021
1.1736,8/13/2021
1.1795,8/16/2021
1.178,8/17/2021
1.171,8/18/2021
1.1703,8/19/2021
1.1677,8/20/2021
1.1698,8/23/2021
1.1745,8/24/2021
1.1753,8/25/2021
1.1774,8/26/2021
1.1756,8/27/2021
1.1799,8/30/2021
1.1797,8/31/2021
1.181,9/1/2021
1.1841,9/2/2021
1.1876,9/3/2021
1.1886,9/6/2021
1.1875,9/7/2021
1.1844,9/8/2021
1.1819,9/9/2021
1.1826,9/10/2021
1.1812,9/13/2021
1.1812,9/14/2021
1.1805,9/15/2021
1.182,9/16/2021
1.1767,9/17/2021
1.173,9/20/2021
1.173,9/21/2021
1.1723,9/22/2021
1.1688,9/23/2021
1.174,9/24/2021
1.1723,9/27/2021
1.1697,9/28/2021
1.1686,9/29/2021
1.1602,9/30/2021
1.1574,10/1/2021
1.1607,10/4/2021
1.1618,10/5/2021
1.1596,10/6/2021
1.1555,10/7/2021
1.156,10/8/2021
1.1566,10/11/2021
1.1554,10/12/2021
1.1534,10/13/2021
1.16,10/14/2021
1.1592,10/15/2021
1.1597,10/18/2021
1.1614,10/19/2021
1.1632,10/20/2021
1.1655,10/21/2021
1.1625,10/22/2021
1.164,10/25/2021
1.1612,10/26/2021
1.1598,10/27/2021
1.16,10/28/2021
1.1684,10/29/2021
1.1557,11/1/2021
1.16,11/2/2021
1.1579,11/3/2021
1.1616,11/4/2021
1.1555,11/5/2021
1.1569,11/8/2021
1.1592,11/9/2021
1.1596,11/10/2021
